timestamp authorization ezpay vehicle gate type lane toll
2019-07-24.23:38:52 true 29031 S48VEYK 3 2 1 0.63
2019-07-24.23:38:52 true 60759 3607QTN 4 1 3 2.00
2019-07-24.23:38:52 true 94707 HR2P6R7 4 1 1 2.00
2019-07-24.23:38:52 true 73909 DCLX5R9 2 2 1 1.14
2019-07-24.23:38:52 true 11736 1XV3YUG 5 1 2 2.40
2019-07-24.23:38:53 true 5596 V6ZKJOP 1 1 2 0.80
2019-07-24.23:38:55 true 632 RFBTVL3 2 2 1 0.25
2019-07-24.23:38:55 true 21839 IKUC0QV 3 2 1 0.99
2019-07-24.23:38:55 true 77430 O0IST5G 3 2 1 0.26
2019-07-24.23:38:56 true 80697 SQTO9DB 5 1 2 2.40
2019-07-24.23:38:57 true 78973 E81MHN7 3 2 1 1.61
2019-07-24.23:38:58 true 33278 8J0WB1W 4 1 2 2.00
2019-07-24.23:39:02 true 15745 VCH2GSX 4 1 1 2.00
2019-07-24.23:39:02 true 79484 XIQBJJS 1 1 2 0.80
2019-07-24.23:39:06 true 55109 RMT67RN 2 2 1 1.57
2019-07-24.23:39:07 true 94590 5IP4R9F 2 2 1 1.16
2019-07-24.23:39:10 true 16549 1INWAVF 5 1 2 2.40
