timestamp authorization ezpay vehicle gate type lane toll
2019-07-24.22:18:15 true 59931 U50TRFZ 2 2 4 1.14
2019-07-24.22:18:15 true 49390 LKWNI3U 3 1 2 1.60
2019-07-24.22:18:15 true 31538 2LCS8QC 5 1 2 2.40
2019-07-24.22:18:15 false null HUA11YE 1 1 1 0.80
2019-07-24.22:18:15 true 59383 FVD4NW1 1 1 1 0.80
2019-07-24.22:18:15 true 31121 OELPZ6H 2 2 2 1.02
2019-07-24.22:18:15 true 3542 ATPN1Z7 1 1 1 0.80
2019-07-24.22:18:15 true 96916 JKDJ8MF 3 1 2 1.60
2019-07-24.22:18:16 true 93852 JS9NUBU 4 2 3 0.83
2019-07-24.22:18:16 true 23205 NJ8KGA6 2 2 4 1.46
2019-07-24.22:18:16 true 95681 LKR582X 3 1 1 1.60
2019-07-24.22:18:16 true 39830 EWEQO9N 2 2 3 1.66
2019-07-24.22:18:16 true 37285 KYEOL4H 2 2 1 0.79
2019-07-24.22:18:16 true 75746 VSCVD4F 3 1 2 1.60
2019-07-24.22:18:16 true 70978 PWACIJ3 2 2 4 0.22
2019-07-24.22:18:16 true 39603 ZIMRY9C 3 1 2 1.60
2019-07-24.22:18:16 true 73698 KRJVK6M 3 1 2 1.60
2019-07-24.22:18:16 true 60863 FAW8VAF 3 1 1 1.60
2019-07-24.22:18:16 true 73482 26V7R6I 3 1 1 1.60
2019-07-24.22:18:16 true 4395 L0QX542 5 1 1 2.40
2019-07-24.22:18:16 true 79718 Y20JZ16 3 1 1 1.60
2019-07-24.22:18:16 true 31625 2Q3H32L 2 2 2 0.24
2019-07-24.22:18:17 true 76164 IQQZH2J 2 2 3 1.55
2019-07-24.22:18:17 true 91878 L1J3DQA 1 1 1 0.80
2019-07-24.22:18:17 true 53808 ZZZLESK 2 2 4 1.21
2019-07-24.22:18:17 true 42090 TBVFUA8 4 2 4 0.79
2019-07-24.22:18:17 false null O3N4WNV 4 2 3 1.12
2019-07-24.22:18:17 false null AMY6QOA 5 1 2 2.40
2019-07-24.22:18:17 true 72302 R5NSFT4 5 1 1 2.40
2019-07-24.22:18:17 true 59340 QCAXZ8T 2 2 4 0.40
2019-07-24.22:18:17 true 26679 ROG1UK1 5 1 2 2.40
2019-07-24.22:18:17 true 34410 01Q40B5 1 1 1 0.80
2019-07-24.22:18:17 true 5081 Y7ST0XB 1 1 1 0.80
2019-07-24.22:18:18 true 80298 B2UF6YD 1 1 1 0.80
2019-07-24.22:18:18 true 21502 QLK0IQ6 1 1 1 0.80
2019-07-24.22:18:18 true 45641 YJA5B6F 4 2 1 1.78
2019-07-24.22:18:18 true 16964 QFZG0VU 1 1 1 0.80
2019-07-24.22:18:18 true 34871 JI0W28F 3 1 2 1.60
2019-07-24.22:18:18 true 47880 9EIIAVA 5 1 1 2.40
2019-07-24.22:18:18 true 61842 JWI1292 4 2 2 1.72
2019-07-24.22:18:19 true 95409 FLV95I9 3 1 1 1.60
2019-07-24.22:18:19 true 87084 LOZXPV5 3 1 2 1.60
2019-07-24.22:18:19 true 73812 U3V7FJG 2 2 2 0.76
2019-07-24.22:18:19 true 9849 CCDYVY1 5 1 3 2.40
2019-07-24.22:18:19 true 74007 OUJ09IC 4 2 4 0.83
2019-07-24.22:18:19 true 46856 3GXDYEN 2 2 1 0.38
2019-07-24.22:18:19 true 58051 5LID6HP 3 1 1 1.60
2019-07-24.22:18:20 true 25988 YKL3FY6 3 1 2 1.60
2019-07-24.22:18:20 false null 20TH1PP 3 1 1 1.60
2019-07-24.22:18:20 true 89554 O8R47A6 3 1 2 1.60
2019-07-24.22:18:20 false null MGJIPHM 3 1 2 1.60
